['RM Edwards', 'Right arm fast', 5, 65, '', 7, 1311, 626, 18, 1968, 1969, 35, 389, 11.78, 78, 36.29, 1940, 0, 0, 0]
['RC Fredericks', 'Left arm wrist spin', 59, 4334, '', 102, 1187, 548, 7, 1968, 1977, 223, 16384, 45.89, 75, 37.94, 1942, 0, 0, 108]
['MLC Foster', 'Right arm offbreak', 14, 580, '', 19, 1776, 600, 9, 1969, 1978, 112, 6731, 45.17, 132, 30.72, 1943, 0, 0, 3]
['VA Holder', 'Right arm fast medium', 40, 682, '', 48, 9095, 3627, 109, 1969, 1979, 313, 3593, 12.97, 950, 24.52, 1945, 0, 0, 0]
['JN Shepherd', 'Right arm medium', 5, 77, '', 8, 1445, 479, 19, 1969, 1971, 423, 13359, 26.34, 1157, 27.71, 1943, 0, 0, 1]
['TM Findlay', '', 10, 212, '', 13, '-', '-', '-', 1969, 1973, 110, 2927, 20.18, 0, '-', 1943, 0, 10, 1]
['GC Shillingford', 'Right arm fast medium', 7, 57, '', 7, 1181, 537, 15, 1969, 1972, 81, 791, 10.14, 217, 26.54, 1944, 0, 0, 0]
['AG Barrett', 'Legbreak googly', 6, 40, '', 6, 1612, 603, 13, 1971, 1975, 57, 1086, 17.51, 169, 31.21, 1944, 0, 0, 0]
['JM Noreiga', 'Right arm offbreak', 4, 11, '', 3, 1322, 493, 17, 1971, 1971, 21, 181, 9.05, 68, 29.67, 1936, 0, 0, 0]
['KD Boyce', 'Right arm fast medium', 21, 657, '', 27, 3501, 1801, 60, 1971, 1976, 285, 8800, 22.39, 852, 25.02, 1943, 0, 0, 0]
['DM Lewis', '', 3, 259, '', 3, '-', '-', '-', 1971, 1971, 36, 1623, 31.82, 0, '-', 1946, 0, 3, 3]
['Inshan Ali', 'Left arm wrist spin', 12, 172, '', 16, 3718, 1621, 34, 1971, 1977, 90, 1341, 13.82, 328, 28.93, 1949, 0, 0, 0]
['UG Dowe', 'Right arm fast', 4, 8, '', 1, 1014, 534, 12, 1971, 1973, 27, 128, 7.11, 97, 27.86, 1949, 0, 0, 0]
['LG Rowe', 'Left arm fast medium', 30, 2047, '', 47, 86, 44, 0, 1972, 1980, 149, 8755, 37.57, 2, 112.0, 1949, 0, 0, 14]
['GA Greenidge', 'Legbreak googly', 5, 209, '', 7, 156, 75, 0, 1972, 1973, 182, 9112, 29.39, 13, 72.92, 1948, 0, 0, 9]
['AB Howard', 'Right arm offbreak', 1, '-', '-', 0, 372, 140, 2, 1972, 1972, 31, 310, 10.0, 85, 27.3, 1946, 0, 0, 0]
['AI Kallicharran', 'Right arm offbreak', 66, 4399, '', 99, 406, 158, 4, 1972, 1980, 505, 32650, 43.64, 84, 47.97, 1949, 9, 0, 1]
['RR Jumadeen', 'Slow left arm orthodox', 12, 84, '', 4, 3140, 1141, 29, 1972, 1979, 99, 604, 8.5, 347, 27.91, 1948, 0, 0, 0]
['ET Willett', 'Slow left arm orthodox', 5, 74, '', 5, 1326, 482, 11, 1973, 1974, 98, 1100, 12.94, 286, 28.43, 1953, 0, 0, 0]
['RGA Headley', 'Legbreak', 2, 62, 268, 4, '-', '-', '-', 1973, 1973, 423, 21695, 31.12, 12, 49.0, 1939, 0, 0, 4]
['BD Julien', 'Left arm medium fast', 24, 866, '', 28, 4542, 1868, 50, 1973, 1977, 195, 5790, 24.53, 483, 28.71, 1950, 0, 0, 2]
['AME Roberts', 'Right arm fast', 47, 762, '', 51, 11135, 5174, 202, 1974, 1983, 228, 3516, 15.69, 889, 21.01, 1951, 0, 0, 0]
['CG Greenidge', 'Right arm medium', 108, 7558, '', 169, 26, 4, 0, 1974, 1991, 523, 37354, 45.88, 18, 26.61, 1951, 1, 0, 182]
['IVA Richards', 'Right arm slow, Right arm offbreak', 121, 8540, '', 170, 5170, 1964, 32, 1974, 1991, 507, 36212, 49.4, 223, 45.15, 1952, 50, 0, 4]
['L Baichan', 'Right arm medium', 3, 184, '', 4, '-', '-', '-', 1975, 1976, 63, 4504, 51.18, 0, '-', 1946, 0, 0, 4]
['MA Holding', 'Right arm fast', 60, 910, '', 66, 12680, 5898, 249, 1975, 1987, 222, 3600, 15.0, 778, 23.43, 1954, 0, 0, 0]
['Imtiaz Ali', 'Legbreak googly', 1, 1, '', 0, 204, 89, 2, 1976, 1976, 46, 558, 11.16, 157, 26.29, 1954, 0, 0, 0]
['AL Padmore', 'Right arm offbreak', 2, 8, 19, 1, 474, 135, 1, 1976, 1976, 68, 562, 13.06, 193, 29.94, 1946, 0, 0, 0]
['WW Daniel', 'Right arm fast', 10, 46, '', 7, 1754, 910, 36, 1976, 1984, 266, 1551, 11.48, 867, 22.47, 1956, 0, 0, 0]
['HA Gomes', 'Right arm offbreak', 60, 3171, '', 80, 2401, 930, 15, 1976, 1987, 231, 12982, 40.56, 107, 39.32, 1953, 0, 0, 0]
['CL King', 'Right arm medium', 9, 418, '', 13, 582, 282, 3, 1976, 1980, 125, 6770, 38.24, 128, 34.21, 1951, 0, 0, 0]
['CEH Croft', 'Right arm fast', 27, 158, '', 15, 6165, 2913, 125, 1977, 1982, 121, 855, 10.42, 428, 24.59, 1953, 0, 0, 0]
['J Garner', 'Right arm fast', 58, 672, '', 54, 13169, 5433, 259, 1977, 1987, 214, 2964, 16.74, 881, 18.53, 1952, 0, 0, 0]
['IT Shillingford', 'Right arm offbreak', 4, 218, '', 7, '-', '-', '-', 1977, 1978, 92, 5449, 36.57, 1, 85.0, 1944, 0, 0, 0]
