['JTC Vaughan', 18.62, 45.01, 'Med', 1992, 1997, 0.2655217965653897, 0.9440559440559442, 0]
['BA Pocock', 22.63, 205.34, 'OpenBat', 1993, 1997, 0.2980726131779471, 1.824817518248175, 0]
['RP de Groen', 5.18, 43.11, 'Fast', 1993, 1994, 0.5, 1.0394511149228132, 0]
['BA Young', 32.3, 406.5, 'OpenBat', 1993, 1999, 0.3895059364228265, 1.4, 0]
['MN Hart', 16.98, 56.65, 'Spin', 1994, 1995, 0.33779904306220093, 1.0166735403287575, 0]
['SP Fleming', 39.1, 390.37, 'Bat', 1994, 2008, 0.4582162024022489, 1.4, 80]
['HT Davis', 6.85, 51.15, 'Fast', 1994, 1997, 0.16, 1.0740421868273784, 0]
['GR Larsen', 16.93, 47.86, 'Med', 1994, 1996, 0.25656565656565655, 0.7670356502733051, 0]
['DJ Murray', 20.28, 402.41, 'OpenBat', 1994, 1995, 0.29503407984420643, 1.4, 0]
['KP Walmsley', 6.13, 41.81, 'Fast', 1995, 2000, 0.3939393939393939, 1.0710274741830335, 0]
['LK Germon', 19.81, 406.5, 'WK', 1995, 1997, 0.39059304703476483, 1.4, 0]
['RG Twose', 25.11, 55.76, 'Bat', 1995, 1999, 0.30294259527255185, 1.324975793711461, 0]
['CM Spearman', 26.34, 400.0, 'OpenBat', 1995, 2000, 0.4168173598553345, 1.4, 0]
['GI Allott', 2.92, 54.19, 'Fast', 1996, 1999, 0.10037174721189591, 1.1643485080583886, 0]
['NJ Astle', 36.13, 47.02, 'PartMed', 1996, 2006, 0.49604388648591624, 0.7636988254076862, 0]
['RJ Kennedy', 5.47, 60.17, 'Med', 1996, 1996, 0.6086956521739131, 1.2988788624555647, 0]
['GR Loveridge', 11.98, 406.5, 'Bat', 1996, 1996, 0.18181818181818182, 1.4, 0]
['DL Vettori', 27.67, 31.69, 'Spin', 1997, 2014, 0.5818672145884166, 0.825036838514894, 32]
['MJ Horne', 28.04, 197.56, 'OpenBat', 1997, 2003, 0.40784671532846717, 0.8094645080946451, 0]
["SB O'Connor", 6.48, 36.49, 'Fast', 1997, 2001, 0.1965648854961832, 0.9794564130533588, 0]
['DG Sewell', 3.5, 52.79, 'PartFast', 1997, 1997, 0.058823529411764705, 1.402524544179523, 0]
['CD McMillan', 37.54, 54.61, 'PartMed', 1997, 2005, 0.5495590828924162, 1.018374489597511, 0]
['PJ Wiseman', 13.51, 48.29, 'Spin', 1998, 2005, 0.3700707785642063, 1.029225805689164, 0]
['MD Bell', 23.23, 385.36, 'OpenBat', 1998, 2008, 0.37811203319502074, 1.4, 0]
['GR Stead', 22.71, 198.15, 'OpenBat', 1999, 1999, 0.4143070044709389, 0.3472222222222222, 0]
['MS Sinclair', 30.26, 139.36, 'Bat', 1999, 2010, 0.4308300395256917, 0.65359477124183, 0]
['DR Tuffey', 13.81, 35.57, 'Fast', 2000, 2010, 0.4252988047808765, 0.9703215223531123, 0]
['MH Richardson', 43.34, 50.66, 'OpenBat', 2000, 2004, 0.3766621438263229, 0.6384919428397688, 0]
['CS Martin', 2.18, 31.18, 'Fast', 2000, 2013, 0.2, 1.0732570358415354, 0]
['BGK Walker', 13.68, 55.99, 'PartSpin', 2000, 2002, 0.24686192468619247, 1.2089443703793479, 0]
