['BC Lara', 52.89, 100, 'Bat', 1990, 2006, 1.21, 0.99, 47]
['IBA Allen', 6.82, 54.34, 'Fast', 1991, 1991, 1, 1.2, 0]
['CB Lambert', 27.82, 100, 'OpenBat', 1991, 1998, 0.8, 1.09, 0]
['JC Adams', 41.93, 65.64, 'PartSpin', 1992, 2001, 0.75, 1.02, 15]
['KCG Benjamin', 7.96, 34.89, 'Fast', 1992, 1998, 0.83, 1.19, 0]
['D Williams', 12.87, 100, 'WK', 1992, 1998, 0.64, 1.2, 0]
['JR Murray', 22.39, 100, 'WK', 1993, 2002, 1.1, 1.2, 0]
['AC Cummins', 13.02, 53.45, 'Fast', 1993, 1994, 0.84, 1.2, 0]
['S Chanderpaul', 48.49, 72.99, 'Bat', 1994, 2015, 0.87, 1.0, 14]
['SC Williams', 24.14, 100, 'OpenBat', 1994, 2002, 1.0, 1.2, 0]
['CE Cuffy', 3.47, 40.26, 'Fast', 1994, 2002, 0.5, 0.92, 0]
['R Dhanraj', 5.06, 49.28, 'Spin', 1994, 1996, 0.5, 1.2, 0]
['SL Campbell', 32.38, 100, 'OpenBat', 1995, 2002, 0.81, 1.2, 0]
['CO Browne', 16.29, 100, 'WK', 1995, 2005, 0.8, 1.2, 0]
['OD Gibson', 16.72, 43.89, 'Fast', 1995, 1999, 1.07, 1.2, 0]
['RG Samuels', 24.79, 100, 'OpenBat', 1996, 1997, 0.87, 1.2, 0]
['PIC Thompson', 9.79, 55.07, 'Fast', 1996, 1997, 1, 1.2, 0]
['AFG Griffith', 22.8, 100, 'OpenBat', 1997, 2000, 0.62, 1.2, 0]
['RIC Holder', 23.97, 100, 'Bat', 1997, 1999, 0.79, 1.2, 0]
['FA Rose', 11.85, 39.76, 'Fast', 1997, 2000, 1.03, 1.11, 0]
['M Dillon', 8.34, 35.05, 'Fast', 1997, 2004, 0.8, 1.04, 0]
['FL Reifer', 15.31, 100, 'Bat', 1997, 2009, 0.64, 1.2, 2]
['RN Lewis', 12.77, 55.34, 'Spin', 1997, 2008, 0.91, 1.04, 0]
['PA Wallace', 21.8, 100, 'OpenBat', 1997, 1999, 1.16, 1.2, 0]
['NAM McLean', 11.58, 42.04, 'Fast', 1998, 2001, 1.0, 1.17, 0]
['D Ramnarine', 5.77, 38.15, 'Spin', 1998, 2002, 0.5, 0.81, 0]
['RD Jacobs', 27.64, 100, 'WK', 1998, 2004, 0.96, 1.2, 2]
['D Ganga', 24.77, 100, 'OpenBat', 1998, 2008, 0.78, 1.14, 2]
['RD King', 3.38, 39.74, 'Fast', 1999, 2005, 0.5, 1.01, 0]
