['DN Sardesai', 'Right arm bowler', 30, 2001, '', 51, 59, 45, 0, 1961, 1972, 179, 10230, 41.75, 8, 69.0, 1940, 0, 0, 23]
['MAK Pataudi', 'Right arm medium', 46, 2793, '', 80, 132, 88, 1, 1961, 1975, 310, 15425, 33.67, 10, 77.59, 1941, 40, 0, 0]
['EAS Prasanna', 'Right arm offbreak', 49, 735, '', 64, 14353, 5742, 189, 1962, 1978, 235, 2476, 11.9, 957, 23.45, 1940, 0, 0, 0]
['BS Chandrasekhar', 'Legbreak', 58, 167, '', 41, 15963, 7199, 242, 1964, 1979, 246, 600, 4.61, 1063, 24.03, 1945, 0, 0, 0]
['Rajinder Pal', 'Right arm fast medium', 1, 6, '', 1, 78, 22, 0, 1964, 1964, 98, 1040, 11.06, 337, 21.89, 1937, 0, 0, 0]
['Hanumant Singh', 'Legbreak', 14, 686, '', 22, 66, 51, 0, 1964, 1969, 207, 12338, 43.9, 56, 40.94, 1939, 0, 0, 0]
['KS Indrajitsinhji', '', 4, 51, '', 6, '-', '-', '-', 1964, 1969, 90, 3694, 26.76, 0, '-', 1937, 0, 4, 4]
['S Venkataraghavan', 'Right arm offbreak', 57, 748, '', 64, 14877, 5634, 156, 1965, 1983, 341, 6617, 17.73, 1390, 24.14, 1945, 5, 0, 0]
['V Subramanya', 'Right arm medium', 9, 263, '', 14, 444, 201, 3, 1965, 1968, 101, 4219, 31.48, 70, 44.18, 1936, 0, 0, 0]
['AL Wadekar', 'Left arm medium, Slow left arm orthodox', 37, 2113, '', 68, 61, 55, 0, 1966, 1974, 237, 15380, 47.03, 21, 43.23, 1941, 16, 0, 0]
['BS Bedi', 'Slow left arm orthodox', 67, 656, '', 73, 21364, 7637, 266, 1966, 1979, 370, 3584, 11.37, 1560, 21.69, 1946, 22, 0, 0]
['S Guha', 'Right arm medium fast', 4, 17, '', 5, 674, 311, 3, 1967, 1969, 85, 1067, 12.7, 299, 20.29, 1946, 0, 0, 0]
['RC Saxena', 'Legbreak', 1, 25, 86, 2, 12, 11, 0, 1967, 1967, 149, 8155, 40.37, 33, 28.27, 1944, 0, 0, 1]
['S Abid Ali', 'Right arm medium fast', 29, 1018, '', 50, 4164, 1980, 47, 1967, 1974, 212, 8732, 29.3, 397, 28.55, 1941, 0, 0, 21]
['UN Kulkarni', 'Left arm fast medium', 4, 13, '', 3, 448, 238, 5, 1967, 1968, 29, 158, 7.9, 40, 39.95, 1942, 0, 0, 0]
['CPS Chauhan', 'Right arm offbreak', 40, 2084, '', 66, 174, 106, 2, 1969, 1981, 179, 11143, 40.22, 51, 34.13, 1947, 0, 0, 67]
['AV Mankad', 'Right arm medium', 22, 991, '', 39, 41, 43, 0, 1969, 1978, 218, 12980, 50.9, 72, 45.5, 1946, 0, 0, 20]
['AM Pai', 'Right arm fast medium', 1, 10, '', 2, 114, 31, 2, 1969, 1969, 35, 392, 10.88, 85, 25.21, 1945, 0, 0, 0]
['AK Roy', 'Right arm medium', 4, 91, '', 7, '-', '-', '-', 1969, 1969, 132, 7163, 43.15, 29, 34.86, 1945, 0, 0, 0]
['A Gandotra', 'Slow left arm orthodox', 2, 54, '', 4, 6, 5, 0, 1969, 1969, 54, 2121, 28.66, 21, 26.71, 1948, 0, 0, 0]
['ED Solkar', 'Left arm medium, Slow left arm orthodox', 27, 1068, '', 42, 2265, 1070, 18, 1969, 1977, 189, 6851, 29.27, 276, 30.0, 1948, 0, 0, 4]
['GR Viswanath', 'Legbreak', 91, 6080, '', 145, 70, 46, 1, 1969, 1983, 308, 17970, 40.93, 15, 48.6, 1949, 2, 0, 0]
['M Amarnath', 'Right arm medium', 69, 4378, '', 103, 3676, 1782, 32, 1969, 1988, 248, 13747, 43.22, 277, 32.87, 1950, 0, 0, 2]
['HK Jayantilal', 'Right arm offbreak', 1, 5, '', 1, '-', '-', '-', 1971, 1971, 91, 4687, 36.33, 6, 51.83, 1948, 0, 0, 1]
['P Krishnamurthy', 'Legbreak', 5, 33, '', 6, '-', '-', '-', 1971, 1971, 108, 1558, 14.98, 0, '-', 1947, 0, 5, 0]
['SM Gavaskar', 'Right arm medium, Right arm offbreak', 125, 10122, '', 198, 380, 206, 1, 1971, 1987, 348, 25834, 51.46, 22, 56.36, 1949, 47, 0, 203]
['RD Parkar', '', 2, 80, 232, 4, '-', '-', '-', 1972, 1972, 85, 4455, 33.75, 1, 55.0, 1946, 0, 0, 4]
['S Madan Lal', 'Right arm medium', 39, 1042, '', 46, 5997, 2846, 71, 1974, 1986, 232, 10204, 42.87, 625, 25.5, 1951, 0, 0, 0]
['BP Patel', 'Right arm offbreak', 21, 972, '', 33, '-', '-', '-', 1974, 1977, 203, 11911, 45.63, 7, 30.71, 1952, 0, 0, 0]
['SS Naik', '', 3, 141, '', 6, '-', '-', '-', 1974, 1974, 85, 4376, 35.29, 3, 17.33, 1945, 0, 0, 6]
['HS Kanitkar', '', 2, 111, '', 4, '-', '-', '-', 1974, 1974, 87, 5006, 42.78, 1, 54.0, 1942, 0, 0, 1]
['PH Sharma', 'Right arm medium', 5, 187, '', 10, 24, 8, 0, 1974, 1977, 152, 8614, 39.15, 191, 24.51, 1948, 0, 0, 2]
['AD Gaekwad', 'Right arm offbreak', 40, 1985, '', 66, 334, 187, 2, 1974, 1984, 206, 12136, 41.56, 143, 32.07, 1952, 0, 0, 50]
['KD Ghavri', 'Left arm medium', 39, 913, '', 43, 7036, 3656, 109, 1974, 1981, 159, 4500, 28.66, 452, 29.01, 1951, 0, 0, 0]
['S Amarnath', 'Right arm medium', 10, 550, '', 18, 11, 5, 1, 1976, 1978, 145, 8175, 40.47, 4, 65.0, 1948, 0, 0, 1]
['SMH Kirmani', 'Right arm offbreak', 88, 2759, '', 102, 19, 13, 1, 1976, 1986, 275, 9620, 30.15, 1, 126.0, 1949, 0, 88, 0]
['DB Vengsarkar', 'Right arm medium', 116, 6868, '', 163, 47, 36, 0, 1976, 1992, 260, 17868, 52.86, 1, 126.0, 1956, 10, 0, 13]
['Yajurvindra Singh', 'Right arm medium', 4, 109, 355, 6, 120, 50, 0, 1977, 1979, 78, 3765, 42.3, 50, 31.04, 1952, 0, 0, 0]
['N Kapil Dev', 'Right arm fast medium', 131, 5248, '', 169, 27740, 12867, 434, 1978, 1994, 275, 11356, 32.91, 835, 27.09, 1959, 34, 0, 0]
['MV Narasimha Rao', 'Legbreak', 4, 46, '', 5, 463, 227, 3, 1978, 1979, 108, 4845, 40.71, 245, 28.05, 1954, 0, 0, 0]
['DD Parsana', 'Left arm medium fast, Slow left arm orthodox', 2, 1, '', 2, 120, 50, 1, 1979, 1979, 93, 2946, 26.54, 320, 22.24, 1947, 0, 0, 0]
['B Reddy', '', 4, 38, 100, 4, '-', '-', '-', 1979, 1979, 95, 1743, 17.78, 0, '-', 1954, 0, 4, 0]
['Yashpal Sharma', 'Right arm medium', 37, 1606, '', 48, 30, 17, 1, 1979, 1983, 160, 8933, 44.88, 47, 33.7, 1954, 0, 0, 0]
['DR Doshi', 'Slow left arm orthodox', 33, 129, '', 28, 9322, 3502, 114, 1979, 1983, 238, 1442, 7.87, 898, 26.58, 1947, 0, 0, 0]
['NS Yadav', 'Right arm offbreak', 35, 403, '', 28, 8360, 3580, 102, 1979, 1987, 112, 1502, 18.31, 330, 32.14, 1957, 0, 0, 0]
['RMH Binny', 'Right arm medium', 27, 830, '', 36, 2870, 1534, 47, 1979, 1987, 136, 6579, 34.08, 205, 36.02, 1955, 0, 0, 3]
['SM Patil', 'Right arm medium', 29, 1588, '', 43, 645, 240, 9, 1980, 1984, 130, 8156, 43.38, 86, 33.12, 1956, 0, 0, 0]
['KBJ Azad', 'Right arm offbreak', 7, 135, '', 12, 750, 373, 3, 1981, 1983, 142, 6634, 39.48, 234, 30.72, 1959, 0, 0, 0]
['RJ Shastri', 'Slow left arm orthodox', 80, 3830, '', 107, 15751, 6185, 151, 1981, 1992, 245, 13202, 44.0, 509, 32.89, 1962, 1, 0, 26]
['B Yograj Singh', 'Right arm fast medium', 1, 10, 50, 2, 90, 63, 1, 1980, 1981, 30, 398, 15.3, 66, 26.6, 1958, 0, 0, 0]
['TE Srinivasan', 'Legbreak', 1, 48, 186, 2, '-', '-', '-', 1980, 1981, 75, 3487, 34.18, 3, 48.66, 1950, 0, 0, 0]
['K Srikkanth', 'Right arm offbreak', 43, 2062, '', 69, 216, 114, 0, 1981, 1992, 134, 7349, 34.99, 29, 49.72, 1959, 4, 0, 72]
['AO Malhotra', 'Right arm medium', 7, 226, '', 9, 18, 3, 0, 1982, 1985, 156, 9784, 50.95, 1, 347.0, 1957, 0, 0, 0]
['P Roy', 'Right arm medium', 2, 71, 230, 2, '-', '-', '-', 1982, 1982, 72, 4056, 40.96, 1, 134.0, 1957, 0, 0, 3]
['GAHM Parkar', 'Right arm medium', 1, 7, 45, 2, '-', '-', '-', 1982, 1984, 66, 4167, 42.09, 2, 65.5, 1955, 0, 0, 2]
['SV Nayak', 'Right arm medium, Legbreak', 2, 19, 49, 2, 231, 132, 1, 1982, 1982, 68, 1799, 28.1, 133, 35.47, 1954, 0, 0, 1]
['J Arun Lal', 'Right arm medium', 16, 729, '', 28, 16, 7, 0, 1982, 1989, 156, 10421, 46.94, 21, 44.33, 1955, 0, 0, 29]
['RC Shukla', 'Legbreak googly', 1, '-', '-', 0, 294, 152, 2, 1982, 1982, 121, 3798, 31.91, 295, 24.53, 1948, 0, 0, 0]
['Maninder Singh', 'Slow left arm orthodox', 35, 99, '', 26, 8218, 3288, 88, 1982, 1993, 145, 1387, 16.91, 606, 23.85, 1965, 0, 0, 0]
['BS Sandhu', 'Right arm medium fast', 8, 214, '', 7, 1020, 557, 10, 1983, 1983, 55, 1003, 21.8, 168, 27.91, 1956, 0, 0, 0]
['TAP Sekhar', 'Right arm medium fast', 2, 0, 2, 0, 204, 129, 0, 1983, 1983, 44, 495, 14.14, 130, 27.73, 1956, 0, 0, 0]
['L Sivaramakrishnan', 'Legbreak googly', 9, 130, '', 8, 2367, 1145, 26, 1983, 1986, 76, 1802, 25.02, 154, 38.49, 1965, 0, 0, 0]
