['HAPW Jayawardene', '', 58, 2124, 4361, 72, '-', '-', '-', 2000, 2015, 249, 10181, 29.68, 0, '-', 1979, 0, 58, 2]
['KC Sangakkara', 'Right arm offbreak', 134, 12400, 22882, 216, 84, 49, 0, 2000, 2015, 260, 20911, 52.4, 1, 150.0, 1977, 15, 48, 9]
['D Hettiarachchi', 'Slow left arm orthodox', 1, 0, 25, 1, 162, 41, 2, 2001, 2001, 234, 1691, 9.55, 1000, 23.54, 1976, 0, 0, 0]
['TT Samaraweera', 'Right arm offbreak', 81, 5462, 11641, 112, 1327, 689, 15, 2001, 2013, 271, 15501, 48.59, 357, 23.43, 1976, 0, 0, 0]
['MG Vandort', 'Right arm medium', 20, 1144, 2421, 31, '-', '-', '-', 2001, 2008, 171, 8938, 32.98, 1, 62.0, 1980, 0, 0, 30]
['TCB Fernando', 'Right arm fast medium', 9, 132, 332, 5, 1270, 792, 18, 2001, 2002, 120, 2824, 20.46, 256, 26.52, 1980, 0, 0, 0]
['WRS de Silva', 'Left arm medium fast', 3, 10, 38, 1, 432, 209, 11, 2002, 2007, 113, 935, 8.5, 339, 23.96, 1979, 0, 0, 0]
['MKGCP Lakshitha', 'Right arm fast medium', 2, 42, 50, 3, 288, 158, 5, 2002, 2002, 114, 2131, 14.79, 398, 21.11, 1979, 0, 0, 0]
['J Mubarak', 'Right arm offbreak', 13, 385, 885, 22, 103, 66, 0, 2002, 2015, 187, 11379, 38.44, 113, 37.37, 1981, 0, 0, 6]
['MN Nawaz', 'Legbreak', 1, 99, 192, 1, '-', '-', '-', 1998, 2002, 131, 6892, 36.27, 17, 26.88, 1973, 0, 0, 0]
['KHRK Fernando', 'Right arm medium fast', 2, 38, 79, 4, 234, 108, 4, 2002, 2002, 187, 8673, 30.75, 267, 26.1, 1979, 0, 0, 0]
['KS Lokuarachchi', 'Legbreak', 4, 94, 162, 4, 594, 295, 5, 2003, 2004, 139, 4594, 27.84, 370, 25.58, 1982, 0, 0, 0]
['RAP Nissanka', 'Right arm medium fast', 4, 18, 83, 3, 587, 366, 10, 2003, 2003, 33, 241, 10.04, 76, 29.18, 1980, 0, 0, 0]
['T Thushara', 'Left arm fast medium', 10, 94, 201, 11, 1668, 1040, 28, 2003, 2010, 137, 2928, 16.0, 324, 30.74, 1981, 0, 0, 0]
['KADM Fernando', 'Right arm fast medium', 2, 56, 129, 2, 126, 107, 1, 2003, 2003, 153, 5693, 28.89, 370, 25.37, 1979, 0, 0, 0]
['MF Maharoof', 'Right arm fast medium', 22, 556, 1404, 30, 2940, 1631, 25, 2004, 2011, 111, 3755, 25.71, 182, 32.25, 1984, 0, 0, 0]
['SL Malinga', 'Right arm fast', 30, 275, 619, 24, 5209, 3349, 101, 2004, 2010, 84, 585, 9.75, 257, 30.28, 1983, 0, 0, 0]
['KMDN Kulasekara', 'Right arm fast medium', 21, 391, 930, 27, 3567, 1794, 48, 2005, 2014, 87, 1684, 18.3, 272, 24.2, 1982, 0, 0, 0]
['S Kalavitigoda', '', 1, 8, 54, 2, '-', '-', '-', 2005, 2005, 170, 8400, 31.81, 0, '-', 1977, 0, 0, 0]
['G Wijekoon', 'Left arm medium', 2, 38, 93, 3, 114, 66, 2, 2005, 2005, 170, 8807, 37.31, 257, 25.57, 1976, 0, 0, 0]
['WU Tharanga', '', 31, 1754, 3212, 55, '-', '-', '-', 2005, 2017, 155, 9637, 38.85, 0, '-', 1985, 0, 0, 48]
['CK Kapugedera', 'Right arm medium', 8, 418, 786, 12, 12, 9, 0, 2006, 2009, 84, 3919, 34.37, 8, 71.87, 1987, 0, 0, 0]
['LPC Silva', 'Legbreak', 11, 537, 854, 16, 102, 65, 1, 2006, 2008, 232, 14963, 41.33, 56, 33.44, 1979, 0, 0, 0]
['SM Warnapura', 'Right arm offbreak', 14, 821, 1412, 23, 54, 40, 0, 2007, 2009, 182, 9116, 35.47, 138, 26.61, 1979, 0, 0, 24]
['UWMBCA Welegedara', 'Left arm fast medium', 21, 218, 423, 24, 3799, 2273, 55, 2007, 2014, 116, 1061, 11.16, 312, 30.65, 1981, 0, 0, 0]
['MKDI Amerasinghe', 'Right arm fast medium', 1, 0, 25, 0, 150, 105, 1, 2007, 2008, 106, 341, 6.68, 254, 24.66, 1978, 0, 0, 0]
['BAW Mendis', 'Right arm offbreak', 19, 213, 455, 13, 4730, 2434, 70, 2008, 2014, 81, 1889, 17.99, 307, 23.28, 1985, 0, 0, 0]
