['KD Karthik', 23.01, 100, 'WK', 2004, 2018, 0.99, 1.2, 0]
['MS Dhoni', 35.15, 100, 'WK', 2005, 2014, 1.18, 1.2, 60]
['RP Singh', 6.08, 44.34, 'Fast', 2006, 2011, 0.84, 1.2, 0]
['S Sreesanth', 8.56, 44.21, 'Fast', 2006, 2011, 1.04, 1.15, 0]
['PP Chawla', 16.47, 46.82, 'Spin', 2006, 2012, 1, 1.04, 0]
['MM Patel', 7.8, 37.14, 'Fast', 2006, 2011, 0.85, 0.97, 0]
['VRV Singh', 12.01, 40.43, 'Fast', 2006, 2007, 1, 1.2, 0]
['RR Powar', 14.78, 44.37, 'Spin', 2007, 2007, 1, 0.89, 0]
['I Sharma', 7.68, 29.91, 'Fast', 2007, 2021, 0.6, 1.01, 0]
['A Mishra', 18.94, 34.62, 'Spin', 2008, 2016, 1.17, 1.02, 0]
['M Vijay', 35.53, 69.82, 'OpenBat', 2008, 2018, 0.93, 0.99, 0]
['PP Ojha', 5.94, 31.16, 'Spin', 2009, 2013, 0.5, 0.85, 0]
['S Badrinath', 28.08, 100, 'Bat', 2010, 2010, 0.71, 1.2, 0]
['WP Saha', 27.28, 100, 'WK', 2010, 2020, 0.91, 1.2, 0]
['A Mithun', 12.34, 40.56, 'Med', 2010, 2011, 0.96, 1.2, 0]
['SK Raina', 24.37, 55.47, 'PartSpin', 2010, 2015, 1.06, 1.11, 0]
['CA Pujara', 44.15, 100, 'Bat', 2010, 2021, 0.9, 0.8, 0]
['JD Unadkat', 9.56, 36.16, 'Med', 2013, 2013, 1, 1.2, 0]
['V Kohli', 49.63, 100, 'Bat', 2011, 2021, 1.14, 0.93, 60]
['P Kumar', 12.59, 34.21, 'Med', 2011, 2011, 1.87, 0.82, 0]
['A Mukund', 29.57, 44.41, 'OpenBat', 2011, 2017, 0.91, 1.2, 0]
['R Ashwin', 26.49, 23.4, 'Spin', 2011, 2021, 1.07, 0.91, 0]
['UT Yadav', 10.42, 30.79, 'Fast', 2011, 2020, 1.0, 1.15, 0]
['VR Aaron', 5.17, 51.86, 'Fast', 2011, 2015, 0.64, 1.2, 0]
['R Vinay Kumar', 12.29, 33.22, 'PartMed', 2010, 2013, 1, 1.2, 0]
['RA Jadeja', 34.29, 23.05, 'Spin', 2012, 2021, 1.25, 0.8, 0]
['B Kumar', 19.26, 31.3, 'Med', 2013, 2018, 0.9, 0.95, 0]
['S Dhawan', 38.48, 100, 'OpenBat', 2013, 2018, 1.34, 0.8, 0]
