SP Jones, Sammy Jones
HJH Scott, Tup Scott
W Bruce, William Bruce
AH Jarvis, Affie Jarvis
AP Marr, Alfred Marr
S Morris, Sam Morris
HA Musgrove, Harry Musgrove
RJ Pope, Roland Pope
WR Robertson, Digger Robertson
JW Trumble, John Trumble
J Worrall, Jack Worrall
PG McShane, George McShane
FH Walters, Frank Walters
J McIlwraith, John McIlwraith
JJ Ferris, J.J. Ferris
H Moses, Harry Moses
CTB Turner, Charlie Turner
RC Allen, Reginald Allen
FJ Burton, Fred Burton
JT Cottam, John Cottam
WF Giffen, Walter Giffen
JJ Lyons, John Lyons
JD Edwards, Jack Edwards
GHS Trott, Harry Trott
SMJ Woods, Sammy Woods
JE Barrett, Jack Barrett
EJK Burn, Kenny Burn
PC Charlton, Percie Charlton
SE Gregory, Syd Gregory
H Trumble, Hugh Trumble
ST Callaway, Sydney Callaway
H Donnan, Harry Donnan
RW McLeod, Bob McLeod
H Graham, Harry Graham
J Darling, Joe Darling
FA Iredale, Frank Iredale
E Jones, Ernie Jones
CE McLeod, Charlie McLeod
JC Reedman, John Reedman
A Coningham, Arthur Coningham
J Harry, John Harry
AE Trott, Albert Trott
TR McKibbin, Tom McKibbin
CJ Eady, Charles Eady
C Hill, Clem Hill
JJ Kelly, James Kelly
MA Noble, Monty Noble
WP Howell, Bill Howell
FJ Laver, Frank Laver
VT Trumper, Victor Trumper
WW Armstrong, Warwick Armstrong
RA Duff, Reggie Duff
AJY Hopkins, Bert Hopkins
JV Saunders, Jack Saunders
JPF Travers, Ike Travers
A Cotter, Tibby Cotter
PA McAlister, Peter McAlister
DRA Gehrs, Algy Gehrs
H Carter, Sammy Carter
GR Hazlitt, Gerry Hazlitt
CG Macartney, Charles Macartney
VS Ransford, Vernon Ransford
MJ Hartigan, Roger Hartigan
JDA O'Connor, Jack O'Connor
W Bardsley, Warren Bardsley
WJ Whitty, Bill Whitty
C Kelleway, Charles Kelleway
HV Hordern, Ranji Hordern
RB Minnett, Roy Minnett
TJ Matthews, Jimmy Matthews
JW McLaren, John McLaren
W Carkeek, Barlow Carkeek
SH Emery, Sid Emery
CB Jennings, Claude Jennings
DBM Smith, Dave Smith
ER Mayne, Ernie Mayne
HL Collins, Herbie Collins
JM Gregory, Jack Gregory
AA Mailey, Arthur Mailey
WAS Oldfield, Bert Oldfield
CE Pellew, Nip Pellew
J Ryder, Jack Ryder
JM Taylor, Johnny Taylor
RL Park, Roy Park
EA McDonald, Ted McDonald
TJE Andrews, Tommy Andrews
HSTL Hendry, Stork Hendry
WH Ponsford, Bill Ponsford
AJ Richardson, Arthur Richardson
VY Richardson, Vic Richardson
AEV Hartkopf, Albert Hartkopf
CV Grimmett, Clarrie Grimmett
AF Kippax, Alan Kippax
WM Woodfull, Bill Woodfull
DG Bradman, Donald Bradman
H Ironmonger, Bert Ironmonger
DD Blackie, Don Blackie
OE Nothling, Otto Nothling
EL a'Beckett, Ted a'Beckett
RK Oxenham, Ron Oxenham
A Jackson, Archie Jackson
AG Fairfax, Alan Fairfax
PM Hornibrook, Percy Hornibrook
TW Wall, Tim Wall
SJ McCabe, Stan McCabe
A Hurwood, Alec Hurwood
KE Rigg, Keith Rigg
HC Nitschke, Jack Nitschke
PK Lee, Perker Lee
WA Hunt, Bill Hunt
WJ O'Reilly, Bill O'Reilly
HM Thurlow, Pud Thurlow
JHW Fingleton, Jack Fingleton
LJ Nash, Laurie Nash
LE Nagel, Lisle Nagel
LPJ O'Brien, Leo O'Brien
EH Bromley, Ernie Bromley
LS Darling, Len Darling
HSB Love, Hammy Love
HH Alexander, Harry Alexander
WA Brown, Bill Brown
AG Chipperfield, Arthur Chipperfield
HI Ebeling, Hans Ebeling
LO Fleetwood-Smith, Chuck Fleetwood-Smith
EL McCormick, Ernie McCormick
CL Badcock, Jack Badcock
RH Robinson, Ray Robinson
MW Sievers, Morris Sievers
FA Ward, Frank Ward
RG Gregory, Ross Gregory
BA Barnett, Ben Barnett
AL Hassett, Lindsay Hassett
MG Waite, Mervyn Waite
SG Barnes, Sid Barnes
IWG Johnson, Ian Johnson
RR Lindwall, Ray Lindwall
CL McCool, Colin McCool
KD Meuleman, Ken Meuleman
KR Miller, Keith Miller
D Tallon, Don Tallon
ERH Toshack, Ernie Toshack
AR Morris, Arthur Morris
GE Tribe, George Tribe
FAW Freer, Fred Freer
B Dooland, Bruce Dooland
MR Harvey, Merv Harvey
RA Hamence, Ron Hamence
WA Johnston, Bill Johnston
RN Harvey, Neil Harvey
LJ Johnson, Len Johnson
SJE Loxton, Sam Loxton
