['Mosaddek Hossain', 'Right arm offbreak', 3, 164, 350, 4, 90, 49, 0, 2017, 2019, 39, 3097, 57.35, 29, 50.96, 1995, 0, 0, 0]
['Sunzamul Islam', 'Slow left arm orthodox', 1, 24, 56, 1, 270, 153, 1, 2017, 2018, 84, 2476, 23.35, 317, 29.14, 1990, 0, 0, 0]
['Abu Jayed', 'Right arm fast medium', 12, 28, 135, 12, 1868, 1054, 30, 2018, 2021, 91, 541, 7.61, 262, 29.97, 1993, 0, 0, 0]
['Ariful Haque', 'Right arm medium fast', 2, 88, 159, 3, 66, 24, 1, 2018, 2018, 89, 4146, 33.98, 122, 34.28, 1992, 0, 0, 0]
['Nazmul Islam', 'Slow left arm orthodox', 1, 4, 16, 2, 174, 76, 4, 2018, 2018, 63, 593, 9.56, 179, 32.0, 1992, 0, 0, 0]
['Mohammad Mithun', '', 10, 333, 752, 18, '-', '-', '-', 2018, 2021, 103, 5378, 33.82, 4, 28.25, 1991, 0, 0, 0]
['Khaled Ahmed', 'Right arm medium', 2, 4, 19, 1, 360, 242, 0, 2018, 2019, 26, 142, 8.35, 54, 36.72, 1992, 0, 0, 0]
['Nayeem Hasan', 'Right arm offbreak', 7, 109, 248, 7, 1322, 656, 25, 2018, 2021, 28, 457, 17.57, 115, 29.2, 2000, 0, 0, 0]
['Shadman Islam', 'Slow left arm orthodox', 7, 339, 818, 13, '-', '-', '-', 2018, 2021, 55, 3776, 44.95, 0, '-', 1995, 0, 0, 13]
['Ebadat Hossain', 'Right arm fast medium', 7, 4, 35, 6, 978, 635, 7, 2019, 2021, 32, 75, 2.67, 85, 33.76, 1994, 0, 0, 0]
['Saif Hassan', 'Right arm offbreak', 4, 84, 161, 7, 36, 27, 1, 2020, 2021, 46, 2706, 41.63, 14, 29.85, 1998, 0, 0, 7]
['Shoriful Islam', 'Left arm medium fast', 1, 0, 10, 1, 180, 99, 1, 2021, 2021, 9, 29, 4.83, 23, 25.82, 2001, 0, 0, 0]
